location_from_input_from_input,profileUrl_from_input,linkedinProfile_from_input,location_from_input,profileUrl,linkedinProfile,name,logo,banner,description,tagLine,followerCount,website,domain,location,companyAddress,industryCode,verifiedPage,industry,companySize,headquarters,founded,specialties,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,sluggedUrl,companyUrl,phone
Greater Barcelona Metropolitan Area,https://www.linkedin.com/in/paulreverterjones,https://www.linkedin.com/in/paulreverterjones/,Greater Barcelona Metropolitan Area,https://www.linkedin.com/in/paulreverterjones,https://www.linkedin.com/in/paulreverterjones/,SAP,https://media.licdn.com/dms/image/v2/D560BAQGmwwo0aq4jVA/company-logo_200_200/company-logo_200_200/0/1723034255614/sap_logo?e=1733356800&v=beta&t=AAXOCWdbSn4OAvBH7mwFwko8vO0YCBp6Z6fa1PXQ4_o,https://media.licdn.com/dms/image/v2/D4E1BAQGzZbJRrqkGYQ/company-background_10000/company-background_10000/0/1721767821803/sap_cover?e=1725706800&v=beta&t=1OmpuHVby1cd74DvpZMgf-eBbqn3Vw1Ii8CxG-qQ4pU,"SAP is the leading enterprise application and business AI company. We stand at the intersection of business and technology, where our innovations are designed to directly address real business challenges and produce real-world impacts.

Our solutions are the backbone for the world’s most complex and demanding processes. SAP’s integrated portfolio unites the elements of modern organizations — from workforce and financials to customers and supply chains — into a unified ecosystem that drives progress.

SAP privacy statement for followers: www.sap.com/sps",We bring out the best in every business.,3726168,http://www.sap.com,sap.com,Walldorf,"Dietmar-Hopp-Allee 16, Walldorf, 69190, DE",4,"August 15, 2023",Software Development,"10,001+ employees","Walldorf, BW",1972,"ERP, Financials, Business Intelligence, Procurement, HCM, SCM, business, planning, efficiency, sustainability, innovation, analytics, reporting, and dashboarding",1115,"1115,2573558,2818,166185,5822",https://www.linkedin.com/sales/company/1115/,120947,SAP,https://www.linkedin.com/company/1115/,2024-08-31T10:16:52.046Z,https://www.linkedin.com/company/sap/,https://www.linkedin.com/company/sap/,
Greater Barcelona Metropolitan Area,https://www.linkedin.com/in/davidsantacana,https://www.linkedin.com/in/davidsantacana/,Greater Barcelona Metropolitan Area,https://www.linkedin.com/in/ricardgarau,https://www.linkedin.com/in/ricardgarau/,Inkoova,https://media.licdn.com/dms/image/v2/C560BAQFK8k4hVCqjoQ/company-logo_200_200/company-logo_200_200/0/1630644762303/inkoova_logo?e=1733356800&v=beta&t=zG_euOe8X6-vGIb5hd0nb_qQsCbSbNF1VXjeUs7MBdM,https://media.licdn.com/dms/image/v2/D4E1BAQHlK_m6LAL1og/company-background_10000/company-background_10000/0/1669119789279/inkoova_cover?e=1725706800&v=beta&t=g2KRuO9FHFvTuERTko99c7---ifaitlJnnhl6JXpFE8,"La tecnología al servicio de las personas	

¿Si hoy fuese mi último día, querría hacer lo que voy a hacer hoy? ( S. J. ) 
Cualquier persona que nunca ha cometido un error nunca ha intentado nada nuevo ( A.E. ) 
Nuestra industria no respeta la tradición, sólo respeta la innovación. ( S. N. )
",Never Ever Settle,2294,https://www.inkoova.com/,https://inkoova.com,Barcelona,"Plaça Catalunya 8, Barcelona, 08007, ES",4,,Software Development,51-200 employees,"Barcelona, Barcelona",2018,,33297566,33297566,https://www.linkedin.com/sales/company/33297566/,60,Inkoova,https://www.linkedin.com/company/33297566/,2024-08-31T10:17:04.869Z,https://www.linkedin.com/company/inkoova/,https://www.linkedin.com/company/inkoova/,
Vilanova i la Geltrú,https://www.linkedin.com/in/oriol-puigcerver-it,https://www.linkedin.com/in/oriol-puigcerver-it/,Vilanova i la Geltrú,https://www.linkedin.com/in/oriol-puigcerver-it,https://www.linkedin.com/in/oriol-puigcerver-it/,PARTY FIESTA,https://media.licdn.com/dms/image/v2/C560BAQGVqKjrUre4-Q/company-logo_200_200/company-logo_200_200/0/1630668447177?e=1733356800&v=beta&t=xk3s6Szllen7iAU63I-_o5UxEe7WLSpQhAQpvpYx_ug,https://media.licdn.com/dms/image/v2/D4D1BAQEVIS8C1yuMgA/company-background_10000/company-background_10000/0/1673427480652/party_fiesta_cover?e=1725706800&v=beta&t=4VZAioFifj116jVA-cz2GO0Tad0jfrAmDWZWmTehpaE,"Party Fiesta operates retail party supply stores in Spain, Portugal, France, UK, Germany, Andorra, Marocco, Slovakia, Domican Rep. and Czech Republic. 
We offer a selection of brand name and private label merchandise for a variety of seasonal and nonseasonal occasions, such as Carnival, Easter, baptisms and communions, weddings, Halloween, graduation parties, hen/stag nights, Valentine’s Day, Christmas and New Year’s Eve. 
Party Fiesta also offers costumes, candies, birthday items, adult birthday items, balloons, gag gifts/joke items, festival and cotillion items, decoration, piñatas to catering items…",¡LA FIESTA EMPIEZA AQUÍ!,4047,http://www.partyfiesta.com,partyfiesta.com,Hospitalet de Llobregat,"Calle Juan Ramon Jimenez, 15, Hospitalet de Llobregat, Barcelona 08902, ES",27,,Retail,201-500 employees,"Hospitalet de Llobregat, Barcelona",1994,"Retail, vente au détail article de fêtes, franchise, réseau de distribution, and Fiestas empresariales",1256936,1256936,https://www.linkedin.com/sales/company/1256936/,253,PARTY FIESTA,https://www.linkedin.com/company/1256936/,2024-08-31T10:17:18.173Z,https://www.linkedin.com/company/party-fiesta/,https://www.linkedin.com/company/party-fiesta/,
Barcelona,https://www.linkedin.com/in/roserolles,https://www.linkedin.com/in/roserolles/,Barcelona,https://www.linkedin.com/in/roserolles,https://www.linkedin.com/in/roserolles/,Opentrends,https://media.licdn.com/dms/image/v2/D4D0BAQGeNqPTWBAzKQ/company-logo_200_200/company-logo_200_200/0/1710751122041/seidor_opentrends_logo?e=1733356800&v=beta&t=kLmP8nFvXCzQMdrK3WyFWkEnvvoXeqqQeyEqK-gFg7c,https://media.licdn.com/dms/image/v2/D4E1BAQHCKnoBXCTLjA/company-background_10000/company-background_10000/0/1685700728235/seidor_opentrends_cover?e=1725706800&v=beta&t=sj-jRvR5KuSpCfZievgAQjbI3CjPGnZt335sg-hyBGs,"Are you Ready? You are already in the future. A new way of approaching digital transformation awaits you, uniting talent, technology, creativity and innovation. Achieving the positive impact you want for your organization and society is easier for you here.

You are the Center. Technology is nothing without people. Extraordinary teams that generate definitive experiences. Creating value for you from the first sprint. If you can imagine it, we can do it.

Start Something New. A jump into tomorrow. The opportunity to transform your organization, prepare it for the future, improve people's lives through innovation. This is Opentrends and this is why you are here.","Talent, technology, creativity and innovation to make an impact on society through digital transformation.",17611,http://www.opentrends.net,opentrends.net,Barcelona,"Carrer de Veneçuela 105, 4, Barcelona, 08019, ES",96,"June 12, 2024",IT Services and IT Consulting,201-500 employees,"Barcelona, Barcelona",,,97166,"97166,42850644,67222124",https://www.linkedin.com/sales/company/97166/,431,Opentrends,https://www.linkedin.com/company/97166/,2024-08-31T10:17:33.918Z,https://www.linkedin.com/company/seidor-opentrends/,https://www.linkedin.com/company/seidor-opentrends/,
Mataró,https://www.linkedin.com/in/jlcheca,https://www.linkedin.com/in/jlcheca/,Mataró,https://www.linkedin.com/in/jlcheca,https://www.linkedin.com/in/jlcheca/,TecnoCampus,https://media.licdn.com/dms/image/v2/D4D0BAQGIuAsRAFDuJw/company-logo_200_200/company-logo_200_200/0/1702999578824/fundaci_tecnocampus_matar_maresme_logo?e=1733356800&v=beta&t=XqJMysBgJUPvm1JtTnFwfKKVDPQecRzRWU2rZDr-9F4,https://media.licdn.com/dms/image/v2/C4D1BAQFi_HTvEHeM4Q/company-background_10000/company-background_10000/0/1590394071682/fundaci_tecnocampus_matar_maresme_cover?e=1725706800&v=beta&t=etmC3fUjv2DOa9aVtQ6sELG45sfVraVHv_sVa8nm9_c,"El TecnoCampus és la combinació d’un campus universitari i d’un parc empresarial i tecnològic amb seu a la ciutat de Mataró. S’hi poden cursar graus, dobles titulacions, postgraus i màsters en els àmbits de la tecnologia, l’empresa i la salut, agrupats en tres escoles universitàries adscrites a la Universitat Pompeu Fabra.
El TecnoCampus aposta per una formació basada en la professionalització, la internacionalització i l’emprenedoria que s’imparteix en unes instal·lacions inaugurades el 2010 situades al costat del mar, amb excel·lents accessos viaris i en transport públic.
",On universitat i empresa es donen la mà | Where university and business go hand in hand,13844,http://www.tecnocampus.cat,tecnocampus.cat,Mataró,"Av. Ernest LLuch  32, Mataró, Barcelona 08303, ES",68,"June 15, 2023",Higher Education,201-500 employees,"Mataró, Barcelona",,"Empresa, Tecnología, Estudios de grado, postgrados y másters, Salud, Ingeniería Mecánica, Ingeniería Informática, Ingeniería Electrónica, Diseño y Producción de Videojuegos, Medios Audiovisuales, Logística y Negocios Marítimos, Turismo, Administración de Empresas y Gestión de la Innovación, Business and Innovation Management, Enfermería, Ciencias de la Actividad Física i del Deporte, Fisioterapia, and Organización Industrial",570263,,https://www.linkedin.com/sales/company/570263/,565,TecnoCampus,https://www.linkedin.com/company/570263/,2024-08-31T10:17:49.719Z,https://www.linkedin.com/school/fundaci-tecnocampus-matar-maresme/,https://www.linkedin.com/school/fundaci-tecnocampus-matar-maresme/,
Barcelona,https://www.linkedin.com/in/davidgraciacarrasquer,https://www.linkedin.com/in/davidgraciacarrasquer/,Barcelona,https://www.linkedin.com/in/davidgraciacarrasquer,https://www.linkedin.com/in/davidgraciacarrasquer/,Eugin Group,https://media.licdn.com/dms/image/v2/C4D0BAQEWHbmks08WqA/company-logo_200_200/company-logo_200_200/0/1668079934904/eugin_group_logo?e=1733356800&v=beta&t=QZqy7qAyvDqHVT7t3aElmOyiTGNdh9Tu-yqiYxmoy74,https://media.licdn.com/dms/image/v2/D4D1BAQHiU_dkzq4o-w/company-background_10000/company-background_10000/0/1666866802584/eugin_group_cover?e=1725706800&v=beta&t=5BvDyxScvC9HQtZnqRH0m_gp8ZVtlwQVOvsZz-wWaH4,"One global group, operating 34 centers in 9 countries, through 15 highly expertised local IVF Partners. 

Eugin Group is an international group of assisted reproduction and fertility centers, with 25 years of experience, which is part of the leading German health care group, Fresenius Helios. It currently has a network of 69 centers that employ around 1,700 specialists in 11 countries: Spain, Italy, Denmark, Sweden, Latvia , Argentina, Colombia, Brazil, United States, Canada and Portugal. In total, the group performs more than 45,000 treatments per year and, since its inauguration in Barcelona in 1998, has helped bring 265,000 babies into the world.

Eugin stands out for offering personalized solutions in all fields of assisted reproduction, especially in treatments that require specialized procedures, as well as for its strong commitment to research, for which it has its own R&D team of 25 people dedicated entirely to this task.

Likewise, Eugin's team is an active part of the national and international fertility societies of reference, participates in the most relevant scientific congresses, and carries out important outreach work through its event, EBART Congress, and its activity in the framework of the Eugin-Universitat Pompeu Fabra Chair. In the educational field, together with the BSM-UPF, Eugin co-directs the International Master's Degree in Human Assisted Reproduction Techniques.","One global group, operating more than 90 centers in 11 countries, through 20 highly expertised local IVF Partners
",3117,https://www.eugingroup.com/,https://eugingroup.com,Barcelona,"Calle de Balmes, 236, Barcelona, Catalonia 08006, ES",14,,Hospitals and Health Care,"1,001-5,000 employees","Barcelona, Catalonia",,,86461678,86461678,https://www.linkedin.com/sales/company/86461678/,34,Eugin Group,https://www.linkedin.com/company/86461678/,2024-08-31T10:18:04.801Z,https://www.linkedin.com/company/eugin-group/,https://www.linkedin.com/company/eugin-group/,
Barcelona,https://www.linkedin.com/in/omarlopez,https://www.linkedin.com/in/omarlopez/,Greater Barcelona Metropolitan Area,https://www.linkedin.com/in/juanvillullas,https://www.linkedin.com/in/juanvillullas/,DXC Technology,https://media.licdn.com/dms/image/v2/C4D0BAQFt7orYWPc9MQ/company-logo_200_200/company-logo_200_200/0/1630537692227/dxctechnology_logo?e=1733356800&v=beta&t=XaS2ULHmqaEoRcU_FXwEjnSwbmzPk9pemeH5sqEgfOs,https://media.licdn.com/dms/image/v2/D4E1BAQGVH8mzAtGjaw/company-background_10000/company-background_10000/0/1719271186479/dxctechnology_cover?e=1725706800&v=beta&t=pHaJgWgZzse63wXJL2Mo10YmqjENURYuq1TO2TfaKcs,"DXC Technology (NYSE: DXC) helps global companies run their mission-critical systems and operations while modernizing IT, optimizing data architectures, and ensuring security and scalability across public, private and hybrid clouds. The world's largest companies and public sector organizations trust DXC to deploy services to drive new levels of performance, competitiveness, and customer experience across their IT estates. 

Learn more about how we deliver excellence for our customers and colleagues: https://www.dxc.com

Twitter: https://www.twitter.com/dxctechnology
Facebook: https://www.facebook.com/DXCTechnology
Youtube: https://www.youtube.com/DXCTechnology
Instagram: https://www.instagram.com/dxctechnology",Delivering excellence for our customers and colleagues,2133013,http://www.dxc.com,dxc.com,Ashburn,"20408 Bashan Dr, 231, Ashburn, Virginia 20147, US",96,"August 16, 2023",IT Services and IT Consulting,"10,001+ employees","Ashburn, Virginia",2017,"Insurance BPaaS and BPO, Analytics and Engineering, Applications, Security, Cloud, IT Outsourcing, and Modern Workplace",16198010,"16198010,5398491",https://www.linkedin.com/sales/company/16198010/,86717,DXC Technology,https://www.linkedin.com/company/16198010/,2024-08-31T10:18:23.070Z,https://www.linkedin.com/company/dxctechnology/,https://www.linkedin.com/company/dxctechnology/,
Granollers,https://www.linkedin.com/in/victorroquet,https://www.linkedin.com/in/victorroquet/,Granollers,https://www.linkedin.com/in/victorroquet,https://www.linkedin.com/in/victorroquet/,Aquí tu Reforma,https://media.licdn.com/dms/image/v2/D4D0BAQGoKGdLH_liSQ/company-logo_200_200/company-logo_200_200/0/1687174061525/aqui_tu_reforma_logo?e=1733356800&v=beta&t=Q7RWKV7ML17RTR2Y3kZl_EM2O5RNGghGfALdM_3QBbQ,https://media.licdn.com/dms/image/v2/D4E1BAQF9JpiQdMP_zA/company-background_10000/company-background_10000/0/1687942947048/aqui_tu_reforma_cover?e=1725706800&v=beta&t=PdTGOOYFn3saMm_RnSaRJwAMDwYlaNAcwuzZ03X2oDA,We are selecting housing reform entrepreneurs who are decided to grow their business and be part of the housing renovation revolution.,We foster the development and well-being of people and sustainable communities through housing renovation.,21158,https://www.aquitureforma.com,https://aquitureforma.com,Barcelona,"Calle de Aribau, 168, Barcelona, 08036, ES",50,"September 12, 2023",Architecture and Planning,11-50 employees,"Barcelona, Catalonia",2018,"reformas, proptech, real estate, and construcción",34218788,34218788,https://www.linkedin.com/sales/company/34218788/,144,Aquí tu Reforma,https://www.linkedin.com/company/34218788/,2024-08-31T10:18:39.995Z,https://www.linkedin.com/company/aqui-tu-reforma/,https://www.linkedin.com/company/aqui-tu-reforma/,+34 93 159 25 01
Greater Barcelona Metropolitan Area,https://www.linkedin.com/in/xaviersancliment,https://www.linkedin.com/in/xaviersancliment/,Greater Barcelona Metropolitan Area,https://www.linkedin.com/in/droshern,https://www.linkedin.com/in/droshern/,Peakway,https://media.licdn.com/dms/image/v2/C4D0BAQFrZqk5QXWfgA/company-logo_200_200/company-logo_200_200/0/1630525670812/peakway_s_l__logo?e=1733356800&v=beta&t=V6LWikRdYY01fGdYRO1C_KGMg5szydd9gtZRj67mgBg,https://media.licdn.com/dms/image/v2/C4D1BAQEZMvgt4b61UA/company-background_10000/company-background_10000/0/1583222260581/peakway_s_l__cover?e=1725706800&v=beta&t=HFKmczYPbF3MqcSkRk-cYkSXEk-u_EieJ_PkyR-6iRI,"Peakway es una boutique de consultores estratégicos de transformación digital que asesora desde organizaciones públicas a organizaciones privadas, en sus procesos de mejora mediante la adopción de las nuevas tecnologías y la implantación de nuevos modelos de negocio y de gestión. Colaboramos aportando conocimiento a equipos directivos: servicios en el ámbito más estratégico, de la gestión de la innovación, modelos de servicios tecnológicos y de colaboración en red.

Especializados en proyectos Smart Cities, de mejorar la eficiencia, la sostenibilidad y calidad de las ciudades, de las administraciones y de las empresas, proyectos de búsqueda de financiación y de gestión del cambio organizativo. Por la experiencia de sus fundadores, ofrecemos servicios de apoyo y colaboración en el ámbito de la transformación digital de los negocios, con experiencia contrastada en administrasción pública, sanidad, retail, industria, entre otros.

Proyectos vinculados a la eliminación de papel, optimización de procesos, implantación de servicios y soluciones de firma, hasta la realización de planes directores de tecnología, smart city, gestión de alumbrado...y gestión de proyectos europeos y obtención de financiación.",Sempre construint al teu costat - Siempre construyendo a tu lado,354,http://www.peakway.eu,peakway.eu,Barcelona,"Barcelona, Barcelona  ES",96,,IT Services and IT Consulting,2-10 employees,"Barcelona, Barcelona",2015,"transformacion digital, oficina de proyectos, firma biométrica, proyectos smart city, planes directores, auditorías alumbrado, financiación y subvenciones, identidad digital, blockchain, and ssi",5255151,5255151,https://www.linkedin.com/sales/company/5255151/,8,Peakway,https://www.linkedin.com/company/5255151/,2024-08-31T10:18:55.453Z,https://www.linkedin.com/company/peakway-s-l-/,https://www.linkedin.com/company/peakway-s-l-/,
Barcelona,https://www.linkedin.com/in/reginatornamorell,https://www.linkedin.com/in/reginatornamorell/,Barcelona,https://www.linkedin.com/in/reginatornamorell,https://www.linkedin.com/in/reginatornamorell/,BAXI,https://media.licdn.com/dms/image/v2/C4E0BAQH_YyUwQc09-g/company-logo_200_200/company-logo_200_200/0/1631318223989?e=1733356800&v=beta&t=oucuYdqJfqA3v8eI7rSRDWPRW_ri5Uq1VdVMAlU7_OA,https://media.licdn.com/dms/image/v2/D4E1BAQF8Xy2nWjbvMA/company-background_10000/company-background_10000/0/1719272160661/baxi_cover?e=1725706800&v=beta&t=fPYIMf33f5JQU-LG1-y8AZXq80Qdv0zL-UrmAkk-qG8,"Marca líder en el mercado Español de Calefacción, Agua Caliente y Energías Renovables. Desde 1917 como Cía. Roca Radiadores. Hoy en BDR Thermea, líder Europeo.

www.baxi.es
www.twitter.com/baxiroca
www.facebook.com/baxiroca
www.youtube.es/baxicalefaccion
www.linkedin.com/company/baxi","Toda la actualidad de la marca líder en España de Calefacción, Agua Caliente, Energías Renovables y Aire Acondicionado.",22063,https://www.baxi.es,https://baxi.es,Madrid,"Calle de López de Hoyos, 35, Madrid, 28002, ES",135,"August 14, 2024",Industrial Machinery Manufacturing,201-500 employees,"Madrid, Madrid",1917,"Calefacción, Agua Caliente Sanitaria, Microcogeneración, Energías Renovables, Aerotermia, Bombas de calor, Calderas murales, Radiadores, Aire Acondicionado, Condensación, and Domótica",2644774,2644774,https://www.linkedin.com/sales/company/2644774/,378,BAXI,https://www.linkedin.com/company/2644774/,2024-08-31T10:19:11.036Z,https://www.linkedin.com/company/baxi/,https://www.linkedin.com/company/baxi/,
